Rank,Tournament Rank,Team Name,Conference,Wins,Losses,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,SS AdjEM,SS AdjEM Rank,SS OppO,SS OppO Rank,SS OppD,SS OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank
34,6,Clemson,ACC,21,11,+16.94,117.4,27,100.5,67,66.1,260,-.022,245,+10.08,41,112.2,28,102.1,68,+5.20,65
35,N/A,Villanova,BE,18,15,+16.93,111.6,84,94.7,13,63.2,350,-.087,347,+11.32,20,112.7,17,101.3,37,+6.05,48
36,10,Nevada,MWC,26,7,+16.81,115.5,40,98.7,36,66.6,233,+.059,53,+5.69,89,109.7,87,104.1,95,-1.10,231
37,N/A,Cincinnati,B12,20,14,+16.72,112.3,77,95.5,17,67.3,188,-.079,336,+9.42,57,110.7,65,101.3,36,-4.01,300
38,10,Colorado St.,MWC,24,10,+16.60,115.4,42,98.8,38,65.8,270,-.025,253,+9.15,65,112.1,31,103.0,85,+5.82,52
39,10,Boise St.,MWC,22,10,+16.38,114.0,52,97.6,29,66.8,221,+.010,158,+9.31,59,111.0,57,101.7,52,+7.76,26
40,N/A,Pittsburgh,ACC,22,11,+16.36,115.9,35,99.5,50,65.5,292,+.005,166,+7.76,80,110.6,69,102.9,81,-6.29,340
41,8,Florida Atlantic,Amer,25,8,+16.24,119.0,16,102.7,109,68.1,138,-.012,217,+5.28,93,109.4,92,104.1,98,+6.60,40
42,7,Washington St.,P12,24,9,+16.22,113.4,64,97.2,27,64.8,316,+.021,130,+6.98,84,109.9,86,103.0,84,-5.10,317
43,N/A,Oklahoma,B12,20,12,+16.12,114.3,48,98.2,34,67.0,213,-.024,250,+10.44,36,110.7,67,100.2,9,-5.35,323
44,9,Texas A&M,SEC,20,14,+16.11,116.0,31,99.9,57,65.8,269,-.025,254,+11.46,19,112.7,15,101.2,33,+5.29,62
45,N/A,Indiana St.,MVC,28,6,+16.10,118.3,22,102.2,99,70.5,40,+.033,103,+1.78,129,107.2,137,105.4,140,-4.22,304
46,9,Northwestern,B10,21,11,+15.91,116.7,30,100.8,72,63.7,342,+.008,164,+9.71,49,111.8,37,102.0,65,-7.39,355
47,N/A,Ohio St.,B10,20,13,+15.59,115.7,37,100.1,60,65.4,294,-.028,262,+10.04,43,111.7,39,101.7,48,-2.00,256
48,8,Utah St.,MWC,27,6,+15.11,115.6,39,100.5,68,68.5,107,+.100,14,+6.02,87,109.4,91,103.3,88,+1.84,141
49,6,South Carolina,SEC,26,7,+15.06,114.7,46,99.7,54,62.9,354,+.152,2,+7.59,81,110.4,78,102.8,79,-6.00,337
50,N/A,Utah,P12,19,14,+14.81,113.9,54,99.1,41,69.6,68,-.035,278,+10.25,40,111.5,45,101.3,35,+5.70,55
51,10,Drake,MVC,28,6,+14.71,115.6,38,100.9,75,67.8,150,+.065,43,+2.60,120,107.8,116,105.2,132,-1.46,243
52,N/A,Iowa,B10,18,14,+14.02,119.2,15,105.2,153,71.3,22,-.020,240,+11.64,16,112.8,14,101.1,27,-1.26,238
53,12,Grand Canyon,WAC,29,4,+13.91,113.5,63,99.6,51,68.1,134,+.022,120,-1.42,209,104.1,277,105.6,148,-1.51,246
54,N/A,Providence,BE,21,13,+13.60,109.1,119,95.5,18,67.7,158,+.021,126,+9.93,44,112.2,27,102.3,72,-1.87,254
55,11,Oregon,P12,23,11,+13.43,114.0,50,100.6,70,67.2,197,+.049,68,+9.10,67,110.9,62,101.8,57,-0.15,204
56,N/A,Xavier,BE,16,17,+13.43,112.7,73,99.3,44,71.0,34,-.048,296,+12.61,9,113.2,8,100.6,13,+4.93,70
57,N/A,Virginia Tech,ACC,18,14,+13.23,115.9,32,102.7,106,67.4,172,-.035,275,+9.26,61,110.4,76,101.2,29,+2.90,113
58,11,N.C. State,ACC,22,14,+13.06,114.4,47,101.3,89,68.1,137,-.000,183,+9.33,58,110.9,63,101.5,44,-4.92,315
59,12,James Madison,SB,31,3,+12.90,113.9,56,101.0,79,69.5,71,+.027,110,-4.44,293,103.4,293,107.8,269,-6.59,342
60,12,McNeese St.,Slnd,30,3,+12.86,114.0,51,101.2,84,65.6,282,+.016,144,-6.72,336,102.3,316,109.0,337,+4.54,76
61,N/A,UCF,B12,17,15,+12.84,107.7,149,94.8,15,68.3,124,-.062,321,+9.72,48,111.2,54,101.5,41,-5.84,334
62,N/A,Seton Hall,BE,20,12,+12.68,112.3,76,99.6,52,66.0,263,+.068,36,+10.04,42,111.8,38,101.7,53,-1.33,242
63,N/A,Washington,P12,17,15,+12.67,115.1,43,102.4,101,71.1,30,-.081,339,+9.30,60,110.9,60,101.6,46,+5.87,51
